"lab_id","year","no_off","no_mates","sex","ring_no"
"CM05_037","2005",3,1,"female","GN 44454"
"CM05_051","2005",4,1,"female","GN 44462"
"CM05_067","2005",6,1,"female",NA
"CM05_072","2005",2,1,"female","GN 44483"
"CM05_117","2005",4,1,"female","GN 52387"
"CW13_046","2006",2,1,"female",NA
"CW13_243","2010",9,2,"female","GN 55922"
"CW13_255","2010",4,1,"female","GN 56768"
"CW13_255","2011",4,1,"female","GN 56768"
"CW13_256","2010",5,1,"female","GN 56781"
"CW13_256","2011",8,1,"female","GN 56781"
"CW13_260","2010",5,1,"female","GN 56796"
"CW13_293","2016",13,1,"female","GN 56835"
"CW13_346","2012",9,1,"female",NA
"CW13_353","2012",6,1,"female","GN 56875"
"CW13_391","2011",6,1,"female","GN 56812"
"CW13_394","2011",8,1,"female","GN 56818"
"CW13_397","2010",8,1,"female","GN 56828"
"CW13_397","2011",9,1,"female","GN 56828"
"CW13_402","2011",8,1,"female",NA
"CW13_514","2012",16,1,"female","GN 27162"
"CW13_518","2012",9,1,"female","GN 27171"
"CW13_529","2012",4,1,"female","GN 27194"
"CW13_529","2014",1,1,"female","GN 27194"
"CW13_529","2015",3,1,"female","GN 27194"
"CW13_598","2013",1,1,"female","GN 56914"
"CW13_603","2013",7,1,"female","GN 56919"
"CW13_606","2013",3,1,"female","GN 56857"
"CW13_606","2014",6,1,"female","GN 56857"
"CW13_606","2015",7,1,"female","GN 56857"
"CW13_607","2013",10,2,"female","GN 27255"
"CW13_607","2016",1,1,"female","GN 27255"
"CW13_613","2013",4,1,"female","GN 56941"
"CW13_615","2013",4,1,"female","GN 56949"
"CW13_616","2012",3,1,"female","GN 56954"
"CW13_616","2013",7,1,"female","GN 56954"
"CW14_024","2016",4,1,"female","GN 76661"
"CW14_027","2014",4,1,"female","GN 76623"
"CW14_030","2014",11,1,"female","GN 56931"
"CW15_046","2015",6,2,"female","GN 76706"
"CW15_046","2016",9,1,"female","GN 76706"
"CW15_048","2015",2,1,"female","GN 76708"
"CW15_053","2015",7,1,"female","GN 76746"
"CW15_053","2016",6,2,"female","GN 76746"
"CW15_059","2015",7,1,"female","GN 76803"
"CW15_059","2016",3,1,"female","GN 76803"
"CW16_238","2016",10,2,"female","GN 76817"
"CW16_239","2016",3,1,"female","GN 76658"
"CW16_244","2016",8,1,"female","GN 76830"
"CW16_244","2017",2,1,"female","GN 76830"
"CW16_247","2016",10,1,"female","GN 76842"
"CW16_251","2016",1,1,"female","GN 76848"
"CW16_254","2016",6,1,"female","GN 76857"
"CW16_255","2016",12,1,"female","GN 76875"
"CW16_255","2017",3,1,"female","GN 76875"
"CW16_257","2016",3,1,"female","GN 76908"
"CW16_257","2017",4,1,"female","GN 76908"
"CW16_257","2018",4,1,"female","GN 76908"
"CW16_273","2016",5,1,"female",NA
"CW16_273","2018",3,1,"female",NA
"CW17_053","2018",2,1,"female","GN 76956"
"CW17_067","2017",3,1,"female","GN 76982"
"CW18_072","2018",3,1,"female",NA
"CW19_002","2019",6,2,"female","GN 90595"
"CW19_005","2019",3,1,"female","GN 90598"
"CW19_006","2019",1,1,"female","GN 90599"
"fdummy1","2015",2,1,"female",NA
"WBC#1","2008",1,1,"female",NA
"WBC#10","2012",3,1,"female",NA
"WBC#11","2012",4,1,"female",NA
"WBC#12","2012",2,1,"female",NA
"WBC#13","2012",3,1,"female",NA
"WBC#14","2013",2,1,"female",NA
"WBC#15","2015",4,1,"female",NA
"WBC#16","2015",4,1,"female",NA
"WBC#17","2015",2,1,"female",NA
"WBC#18","2016",7,1,"female",NA
"WBC#19","2016",4,1,"female",NA
"WBC#2","2010",9,1,"female",NA
"WBC#2","2011",3,1,"female",NA
"WBC#20","2016",4,1,"female",NA
"WBC#21","2016",2,1,"female",NA
"WBC#22","2006",2,1,"female",NA
"WBC#23","2011",1,1,"female",NA
"WBC#24","2012",1,1,"female",NA
"WBC#25","2014",3,1,"female",NA
"WBC#26","2005",1,1,"female",NA
"WBC#27","2005",4,1,"female",NA
"WBC#28","2005",4,1,"female",NA
"WBC#3","2010",8,1,"female",NA
"WBC#31","2019",5,1,"female",NA
"WBC#32","2019",3,1,"female",NA
"WBC#4","2010",5,1,"female",NA
"WBC#5","2011",7,1,"female",NA
"WBC#6","2011",8,1,"female",NA
"WBC#7","2011",9,2,"female",NA
"WBC#7","2012",6,1,"female",NA
"WBC#8","2011",1,1,"female",NA
"WBC#9","2012",6,1,"female",NA
"fdummy3","2010",1,1,"female",NA
"fdummy5","2012",1,1,"female",NA
"fdummy7","2015",1,1,"female",NA
"CM05_009","2005",2,1,"male","GN 44429"
"CM05_018","2005",6,1,"male","GN 44441"
"CM05_026","2005",4,1,"male","GN 44447"
"CM05_028","2005",4,1,"male","GN 44450"
"CM05_033","2005",4,1,"male","GN 44453"
"CM05_038","2005",3,1,"male","GN 44455"
"CM05_116","2005",4,1,"male","GN 52375"
"CW13_049","2006",2,1,"male","GN 52406"
"CW13_126","2008",1,1,"male","GN 55908"
"CW13_128","2011",2,1,"male",NA
"CW13_237","2010",8,1,"male","GN 55914"
"CW13_237","2011",9,1,"male","GN 55914"
"CW13_237","2012",16,1,"male","GN 55914"
"CW13_238","2010",8,1,"male","GN 55915"
"CW13_238","2011",3,1,"male","GN 55915"
"CW13_238","2012",6,1,"male","GN 55915"
"CW13_239","2010",9,1,"male","GN 55916"
"CW13_239","2012",9,1,"male","GN 55916"
"CW13_242","2010",8,1,"male","GN 55921"
"CW13_257","2010",5,1,"male","GN 56782"
"CW13_383","2011",8,1,"male","GN 55919"
"CW13_385","2011",2,1,"male","GN 56798"
"CW13_385","2012",6,1,"male","GN 56798"
"CW13_385","2013",5,1,"male","GN 56798"
"CW13_387","2011",7,1,"male","GN 56802"
"CW13_393","2011",8,1,"male","GN 56817"
"CW13_399","2010",4,1,"male","GN 56834"
"CW13_399","2011",4,1,"male","GN 56834"
"CW13_399","2012",3,1,"male","GN 56834"
"CW13_399","2013",7,1,"male","GN 56834"
"CW13_400","2011",8,1,"male","GN 56841"
"CW13_513","2012",4,1,"male","GN 27156"
"CW13_516","2012",3,1,"male","GN 27167"
"CW13_528","2012",4,1,"male","GN 56853"
"CW13_528","2014",1,1,"male","GN 56853"
"CW13_536","2012",6,1,"male","GN 27283"
"CW13_538","2012",9,1,"male","GN 27290"
"CW13_599","2013",4,1,"male","GN 56915"
"CW13_605","2012",3,1,"male","GN 56885"
"CW13_605","2013",7,1,"male","GN 56885"
"CW13_608","2013",5,1,"male","GN 56932"
"CW13_608","2014",11,1,"male","GN 56932"
"CW13_608","2015",3,1,"male","GN 56932"
"CW13_614","2013",4,1,"male","GN 56948"
"CW13_614","2014",4,1,"male","GN 56948"
"CW14_026","2014",3,1,"male","GN 56951"
"CW14_028","2014",6,1,"male","GN 27261"
"CW14_028","2015",7,1,"male","GN 27261"
"CW14_028","2016",6,1,"male","GN 27261"
"CW15_047","2015",7,1,"male","GN 76707"
"CW15_049","2015",4,1,"male","GN 76709"
"CW15_050","2016",6,1,"male","GN 76718"
"CW15_050","2018",3,1,"male","GN 76718"
"CW15_051","2015",2,1,"male","GN 76721"
"CW15_052","2015",7,1,"male","GN 76745"
"CW15_054","2015",4,1,"male","GN 76753"
"CW15_054","2016",3,1,"male","GN 76753"
"CW15_056","2015",1,1,"male","GN 76796"
"CW15_058","2016",5,1,"male","GN 76801"
"CW16_240","2016",12,1,"male","GN 76818"
"CW16_240","2017",3,1,"male","GN 76818"
"CW16_241","2016",1,1,"male","GN 76822"
"CW16_242","2016",3,1,"male","GN 76823"
"CW16_242","2017",4,1,"male","GN 76823"
"CW16_242","2018",4,1,"male","GN 76823"
"CW16_242","2019",5,1,"male","GN 76823"
"CW16_243","2016",8,1,"male","GN 76826"
"CW16_243","2017",2,1,"male","GN 76826"
"CW16_246","2016",13,1,"male","GN 76841"
"CW16_248","2016",4,1,"male","GN 76844"
"CW16_249","2016",10,1,"male","GN 76845"
"CW16_250","2016",9,1,"male","GN 76847"
"CW16_252","2016",1,1,"male","GN 76849"
"CW16_253","2016",6,1,"male","GN 76856"
"CW16_253","2018",3,1,"male","GN 76856"
"CW16_256","2016",7,1,"male","GN 76879"
"CW16_259","2016",4,1,"male","GN 76919"
"CW16_260","2016",3,1,"male",NA
"CW16_261","2016",4,1,"male","GN 76934"
"CW18_063","2018",2,1,"male","GN 90552"
"CW19_001","2019",1,1,"male","GN 90594"
"CW19_003","2019",5,1,"male","GN 90596"
"CW19_007","2019",1,1,"male","GN 90600"
"CW19_014","2019",3,1,"male","GN 90607"
"mdummy2","2015",2,1,"male",NA
"WBC*1","2006",2,1,"male",NA
"WBC*10","2013",1,1,"male",NA
"WBC*11","2015",5,1,"male",NA
"WBC*11","2016",2,1,"male",NA
"WBC*12","2015",2,1,"male",NA
"WBC*13","2016",4,1,"male",NA
"WBC*14","2013",3,1,"male",NA
"WBC*15","2005",1,1,"male",NA
"WBC*17","2019",3,1,"male",NA
"WBC*2","2010",1,1,"male",NA
"WBC*3","2010",5,1,"male",NA
"WBC*4","2010",5,1,"male",NA
"WBC*4","2012",1,1,"male",NA
"WBC*5","2011",8,1,"male",NA
"WBC*6","2011",6,1,"male",NA
"WBC*7","2011",7,1,"male",NA
"WBC*8","2012",2,1,"male",NA
"WBC*8","2017",3,1,"male",NA
"WBC*9","2013",2,1,"male",NA
"mdummy4","2010",1,1,"male",NA
"mdummy6","2012",1,1,"male",NA
"mdummy8","2015",1,1,"male",NA
