ID,Site,Z,M,R
VA1-071,VA,120,1,268
VA1-090,VA,100,1,91
VA1-011,VA,120,2,201
VA1-017,VA,128,2,270
VA1-018,VA,137,2,238
VA1-022,VA,106,2,167
VA1-029,VA,113,2,205
VA1-042,VA,130,2,193
VA1-078,VA,137,2,448
VA1-082,VA,125,2,210
VA1-087,VA,125,2,203
VA1-088,VA,131,2,217
VA1-098,VA,131,2,210
VA1-016,VA,147,3,152
VA1-020,VA,138,3,275
VA1-026,VA,149,3,429
VA1-031,VA,125,3,221
VA1-033,VA,141,3,330
VA1-034,VA,139,3,309
VA1-040,VA,147,3,323
VA1-043,VA,141,3,379
VA1-056,VA,106,3,115
VA1-063,VA,136,3,201
VA1-070,VA,131,3,326
VA1-077,VA,142,3,323
VA1-085,VA,129,3,257
VA1-086,VA,139,3,254
VA1-012,VA,147,4,361
VA1-044,VA,152,4,322
VA1-058,VA,148,4,293
NC003,NC,120,1,318
NC008,NC,136,2,241
NC033,NC,138,1,152
NC045,NC,120,1,203
NC051,NC,138,2,368
NC054,NC,126,1,258
NC063,NC,120,2,133
NC066,NC,130,2,321
NC075,NC,129,1,175
NC082,NC,125,2,151
NC086,NC,144,3,210
NC089,NC,113,2,125
NC090,NC,105,2,65
NC091,NC,113,1,134
NC092,NC,143,2,340
NC093,NC,136,3,198
NC094,NC,120,3,318
NC096,NC,112,1,141
NC097,NC,120,1,78
NC098,NC,119,2,261
NC099,NC,118,2,200
NC100,NC,129,2,144
NC101,NC,104,1,19
NC102,NC,123,2,175
TB025,TB,125,1,170
TB027,TB,134,2,164
TB028,TB,131,1,161
TB029,TB,139,1,156
TB030,TB,142,2,332
TB033,TB,136,1,278
TB037,TB,135,1,106
TB042,TB,125,1,84
TB049,TB,139,1,119
TB052,TB,136,2,234
TB055,TB,138,2,284
TB066,TB,119,1,100
TB073,TB,126,1,124
TB085,TB,132,1,101
TB086,TB,149,1,147
TB087,TB,161,2,423
TB088,TB,118,1,163
TB092,TB,136,1,229
TB093,TB,134,1,152
TB096,TB,128,1,345
TB098,TB,132,1,206
TB102,TB,143,2,177
TB103,TB,146,2,206
TB111,TB,145,2,274
TB112,TB,144,2,150
TB113,TB,140,2,221
TB127,TB,165,2,229
TB128,TB,142,2,298
TB138,TB,148,2,264
TB143,TB,138,2,166
SJ1-028,SJ,143,2,242
SJ1-036,SJ,151,2,206
SJ1-041,SJ,179,3,521
SJ1-057,SJ,148,2,262
SJ1-058,SJ,159,2,330
SJ1-059,SJ,143,3,321
SJ1-060,SJ,167,3,294
SJ1-061,SJ,145,2,230
SJ1-062,SJ,139,2,251
SJ1-063,SJ,138,1,58
SJ1-065,SJ,142,2,210
SJ2-001,SJ,173,2,308
SJ2-008,SJ,157,1,285
SJ2-009,SJ,153,1,156
SJ2-012,SJ,166,3,168
SJ2-013,SJ,157,2,144
SJ2-034,SJ,141,2,239
SJ2-036,SJ,141,1,315
SJ2-040,SJ,160,4,369
SJ2-041,SJ,145,1,196
SJ2-049,SJ,149,2,431
SJ2-050,SJ,151,1,409
TXS1M1,TX1,130,1,138
TXS1M5,TX1,134,1,155
TXS1M7,TX1,174,2,472
TXS1M8,TX1,146,1,74
TXS2M20,TX1,130,1,74
TXS2M01,TX1,165,2,340
TXS2M04,TX1,187,1,300
TXS2M05,TX1,138,1,97
TXS2M06,TX1,149,1,259
TXS2M07,TX1,154,2,314
TXS2M08,TX1,182,2,451
TXS2M09,TX1,184,1,338
TXS2M10,TX1,184,1,319
TX3-001,TX3,192,2,535
TX3-006,TX3,128,2,339
TX3-012,TX3,136,2,493
TX3-013,TX3,129,2,349
TX3-014,TX3,138,2,414
TX3-023,TX3,122,1,246
TX3-024,TX3,149,3,539
TX3-027,TX3,141,1,369
TX3-029,TX3,150,1,390
TX3-031,TX3,126,2,326
TX3-043,TX3,126,2,258
TX3-044,TX3,136,2,498
TX3-046,TX3,155,3,481
TX3-048,TX3,132,1,251
TX3-056,TX3,156,2,225
TX3-057,TX3,168,2,339
TX3-058,TX3,178,2,492
TX3-059,TX3,170,1,199
TX3-060,TX3,151,1,115
TX3-061,TX3,170,2,437
TX3-062,TX3,124,3,607
TX3-063,TX3,158,3,122
TX3-064,TX3,182,2,510
TX3-065,TX3,180,2,340
TX3-067,TX3,168,2,173
TX3-068,TX3,157,2,208